1,1.60012E+12,-4.23,0.115,8628,leo
2,1.60012E+12,-4.209,0.093,8782,leo
3,1.60012E+12,-4.197,0.069,8949,leo
4,1.60012E+12,-4.216,0.041,9117,leo
5,1.60012E+12,-4.242,0.01,9268,leo
6,1.60012E+12,-4.276,-0.012,9423,leo
7,1.60012E+12,-4.314,-0.019,9576,leo
8,1.60012E+12,-4.302,-0.026,9706,leo
9,1.60012E+12,-4.276,-0.038,9825,leo
10,1.60012E+12,-4.281,-0.053,9904,leo
11,1.60012E+12,-4.295,-0.065,9959,leo
12,1.60012E+12,-4.314,-0.062,10010,leo
13,1.60012E+12,-4.336,-0.065,10024,leo
14,1.60012E+12,-4.352,-0.079,10010,leo
15,1.60012E+12,-4.372,-0.081,9986,leo
16,1.60012E+12,-4.367,-0.062,9938,leo
17,1.60012E+12,-4.345,-0.045,9866,leo
18,1.60012E+12,-4.329,-0.048,9811,leo
19,1.60012E+12,-4.314,-0.053,9751,leo
20,1.60012E+12,-4.317,-0.048,9648,leo
21,1.60012E+12,-4.329,-0.045,9543,leo
22,1.60012E+12,-4.331,-0.026,9440,leo
23,1.60012E+12,-4.314,0.002,9308,leo
24,1.60012E+12,-4.266,0.014,9162,leo
25,1.60012E+12,-4.209,0.038,9009,leo
26,1.60012E+12,-4.168,0.069,8849,leo
27,1.60012E+12,-4.156,0.084,8691,leo
28,1.60012E+12,-4.171,0.101,8542,leo
29,1.60012E+12,-4.178,0.117,8398,leo
30,1.60012E+12,-4.156,0.141,8260,leo
31,1.60012E+12,-4.125,0.153,8138,leo
32,1.60012E+12,-4.087,0.148,8030,leo
33,1.60012E+12,-4.058,0.158,7917,leo
34,1.60012E+12,-4.058,0.168,7812,leo
35,1.60012E+12,-4.07,0.18,7731,leo
36,1.60012E+12,-4.077,0.184,7666,leo
37,1.60012E+12,-4.077,0.184,7620,leo
38,1.60012E+12,-4.06,0.184,7582,leo
39,1.60012E+12,-4.027,0.194,7565,leo
40,1.60012E+12,-4.015,0.203,7561,leo
41,1.60012E+12,-4.029,0.196,7565,leo
42,1.60012E+12,-4.029,0.184,7592,leo
43,1.60012E+12,-4.034,0.177,7625,leo
44,1.60012E+12,-4.046,0.16,7680,leo
45,1.60012E+12,-4.053,0.146,7750,leo
46,1.60012E+12,-4.065,0.132,7824,leo
47,1.60012E+12,-4.075,0.12,7917,leo
48,1.60012E+12,-4.077,0.101,8018,leo
49,1.60012E+12,-4.077,0.096,8123,leo
50,1.60012E+12,-4.08,0.084,8250,leo
51,1.60012E+12,-4.096,0.067,8370,leo
52,1.60012E+12,-4.12,0.084,8473,leo
53,1.60012E+12,-4.13,0.084,8573,leo
54,1.60012E+12,-4.135,0.053,8686,leo
55,1.60012E+12,-4.144,0.034,8784,leo
56,1.60012E+12,-4.175,0.036,8884,leo
57,1.60012E+12,-4.197,0.031,8990,leo
58,1.60012E+12,-4.204,0.01,9076,leo
59,1.60012E+12,-4.228,0.007,9177,leo
60,1.60012E+12,-4.242,0.022,9258,leo
61,1.60012E+12,-4.25,0.026,9303,leo
62,1.60012E+12,-4.257,0.017,9354,leo
63,1.60012E+12,-4.271,0.019,9409,leo
64,1.60012E+12,-4.3,0.026,9445,leo
65,1.60012E+12,-4.302,0.026,9466,leo
66,1.60012E+12,-4.293,0.026,9478,leo
67,1.60012E+12,-4.288,0.022,9471,leo
68,1.60012E+12,-4.288,0.026,9452,leo
69,1.60012E+12,-4.285,0.038,9433,leo
70,1.60012E+12,-4.278,0.041,9411,leo
71,1.60012E+12,-4.281,0.045,9380,leo
72,1.60012E+12,-4.271,0.062,9327,leo
73,1.60012E+12,-4.266,0.081,9272,leo
74,1.60012E+12,-4.261,0.074,9220,leo
75,1.60012E+12,-4.254,0.053,9153,leo
76,1.60012E+12,-4.24,0.057,9083,leo
77,1.60012E+12,-4.228,0.081,8997,leo
78,1.60012E+12,-4.218,0.098,8923,leo
79,1.60012E+12,-4.199,0.096,8849,leo
80,1.60012E+12,-4.192,0.096,8767,leo
81,1.60012E+12,-4.192,0.096,8693,leo
82,1.60012E+12,-4.178,0.101,8614,leo
83,1.60012E+12,-4.154,0.108,8530,leo
84,1.60012E+12,-4.137,0.101,8454,leo
85,1.60012E+12,-4.125,0.105,8396,leo
86,1.60012E+12,-4.115,0.11,8336,leo
87,1.60012E+12,-4.118,0.105,8267,leo
88,1.60012E+12,-4.115,0.101,8224,leo
89,1.60012E+12,-4.108,0.108,8183,leo
90,1.60012E+12,-4.099,0.117,8130,leo
91,1.60012E+12,-4.082,0.122,8092,leo
92,1.60012E+12,-4.063,0.115,8068,leo
93,1.60012E+12,-4.06,0.103,8049,leo
94,1.60012E+12,-4.065,0.105,8042,leo
95,1.60012E+12,-4.065,0.105,8032,leo
96,1.60012E+12,-4.068,0.108,8030,leo
97,1.60012E+12,-4.068,0.113,8044,leo
98,1.60012E+12,-4.068,0.108,8059,leo
99,1.60012E+12,-4.068,0.108,8071,leo
100,1.60012E+12,-4.068,0.113,8102,leo
101,1.60012E+12,-4.072,0.108,8147,leo
102,1.60012E+12,-4.087,0.105,8193,leo
103,1.60012E+12,-4.096,0.105,8238,leo
104,1.60012E+12,-4.12,0.101,8296,leo
105,1.60012E+12,-4.13,0.086,8363,leo
106,1.60012E+12,-4.127,0.093,8420,leo
107,1.60012E+12,-4.142,0.096,8485,leo
108,1.60012E+12,-4.154,0.089,8545,leo
109,1.60012E+12,-4.159,0.086,8609,leo
110,1.60012E+12,-4.18,0.067,8683,leo
111,1.60012E+12,-4.202,0.062,8750,leo
